rating,rating_numeric,date,content,content_cleaned,content_length,sentence_count
10,10,2023.07.19,my favourite part is how he doesn't give an absolute shit about his son,favourite part doesn give absolute shit son,71,1
10,10,2018.11.10,tell me you wouldn't cry too if your son grows up to be casey affleck,tell wouldn cry son grows casey affleck,69,1
10,10,2014.11.10,"Oh. My. God.  I have a headache, but it's the best headache I've ever had.",oh god headache best headache ever,74,4
8,8,2020.03.21,watched on my 13 inch macbook air just as christopher nolan intended <3,watched 13 inch macbook air christopher nolan intended,71,1
10,10,2017.02.26,"""It was you. You were my ghost.""HOLY SHIT I AM REALLY NOT OKAY WITH BEING ALIVE RIGHT NOW",ghost holy shit really okay alive right,89,3
10,10,2019.01.24,"“because my dad promised me”my relationship with my dad is the most important one in my life, hands down. and this movie always strikes a chord deep inside, so emotionally heavy that i feel it might break, but in a cathartic kind of way. i’m glad i can always rely on it to fall back on when i need to, just like i can rely on him",dad promised relationship dad important one life hands movie always strikes chord deep inside emotionally heavy feel might break cathartic kind way glad always rely fall back need like rely,330,3
8,8,2020.07.08,When those Zimmer organs kick in *biggest possible chef's kiss*,zimmer organs kick biggest possible chef kiss,63,1
9,9,2020.08.28,shout out to the woman sitting next to me who got audibly upset when timothée chalamet grew up to be casey affleck  (she also happened to be my mom),shout woman sitting next got audibly upset timoth chalamet grew casey affleck also happened mom,148,1
10,10,2017.07.13,"as we were leaving the theatre this guy goes ""one hour of a christopher nolan movie is four years of real time""",leaving theatre guy goes one hour christopher nolan movie four years real time,111,1
10,10,2017.12.28,i needed a REALLY good cry,needed really good cry,26,1
10,10,2017.06.09,i hate to sound like a cheesy old white lady but that shit is breathtaking bro,hate sound like cheesy old white lady shit breathtaking bro,78,1
10,10,2020.07.09,"“Love isn’t something we invented. It’s observable, powerful. It has to mean something. Maybe it means something we can’t understand yet.”",love isn something invented observable powerful mean something maybe means something understand yet,138,5
10,10,2017.05.05,JESSICA CHASTAIN SAVED US ALL,jessica chastain saved us,29,1
10,10,2022.11.06,is that the dude who fucked a peach in that gay movie?,dude fucked peach gay movie,54,1
10,10,2014.11.04,"I have been staring at this blank canvas for a good half hour now, and I still can't find the words. How the hell do I start a review about a film like this? I walked out of the cinema in a daze, baffled and thrilled and grinning like a damn fool. My car is a two door red Honda Civic and yet I approached a white SUV with my keys out as if it was my ticket home because… more",staring blank canvas good half hour still find words hell start review film like walked cinema daze baffled thrilled grinning like damn fool car two door red honda civic yet approached white suv keys ticket home,376,4
9,9,2020.06.10,fuck you matthew mcconaughey for making me cry,fuck matthew mcconaughey making cry,46,1
9,9,2022.10.04,what did time ever do to christopher nolan,time ever christopher nolan,42,1
10,10,2022.12.31,"Film bro this. Film bro that. I don't care. Fuck you. This movie is conceptually bold and I love and adore it. It's a level of ambition we rarely see in film and a display of technical execution that never ceases to amaze me, all backed by arguably the greatest film score of all time.  I've been on the Interstellar train since the day I first watched it on the big screen and my entire theater collectively gasped during the… more",film bro film bro care fuck movie conceptually bold love adore level ambition rarely see film display technical execution never ceases amaze backed arguably greatest film score time interstellar train since day first watched big screen entire theater collectively gasped,432,7
6,6,2014.11.18,"If you're one of the three people in the universe that hasn't seen this film, there'll be spoilers hereThe Nolan Brothers are poor writers, something they prove once again with a high concept, beautifully shot but shoddily written script that overreaches its grasp at just about every turn. Christopher Nolan is a far better director than he is a writer, he really should direct something once that wasn't written by him or his brother.Interstellar is not a bad… more",one three people universe hasn seen film spoilers herethe nolan brothers poor writers something prove high concept beautifully shot shoddily written script overreaches grasp every turn christopher nolan far better director writer really direct something wasn written brother interstellar bad,467,3
10,10,2018.03.02,me: don’t cry don’t cry don’t cry Murph: today I'm the same age you were when you left... so it‘d be a really good time for you to come back my eyes: lmao let’s show this bitch the niagara falls,cry cry cry murph today age left really good time come back eyes lmao let show bitch niagara falls,194,2
8,8,2020.05.15,The most jaw dropping part of this is still when Matt Damon shows up,jaw dropping part still matt damon shows,68,1
9,9,2024.02.09,Top 2 most devastating Matt Damon betrayals1. When he told Arthur Read he could never eat lunch in this town again2. This movie,top devastating matt damon betrayals1 told arthur read could never eat lunch town again2 movie,127,3
10,10,2024.12.09,was forcibly removed from the IMAX 10 Year Anniversary release for asking everyone around me if they knew Matt Damon was gonna be in this,forcibly removed imax 10 year anniversary release asking everyone around knew matt damon gonna,137,1
8,8,2020.08.24,christopher nolan should make a superhero movie. imagine how good that would be,christopher nolan make superhero movie imagine good would,79,2
10,10,2017.03.07,hahahaha the main menu came on and i started crying what the fuck why is this the saddest movie to ever exist,hahahaha main menu came started crying fuck saddest movie ever exist,109,1
10,10,2015.03.31,"""I'm coming back...""  ""When?""  Nolan you genius bastard. So many immaculate scenes, astounding sequences, heartbreaking moments, and stunning shots combine into a work that isn't flawless but beautiful because of that.  A visionary achievement that I will cherish until I settle down for the long nap.",coming back nolan genius bastard many immaculate scenes astounding sequences heartbreaking moments stunning shots combine work isn flawless beautiful visionary achievement cherish settle long nap,301,5
8,8,2020.11.02,To me this will always be half the most amazing space masterpiece that gives me the most genuine chills and goosebumps and makes me question everything in life  And half stupid ass bumbfuck ending dumbass stupid ass what the dumb halo ring human life bull bdkrkfigi,always half amazing space masterpiece gives genuine chills goosebumps makes question everything life half stupid ass bumbfuck ending dumbass stupid ass dumb halo ring human life bull bdkrkfigi,265,1
7,7,2020.09.04,"There are so many extraordinary choices here, small and large decisions that make this unusually, almost painfully ambitious movie greater than the sum of all its tiny particles. Nolan seems to be after some unholy alliance of 'Close Encounters' and 'Days of Heaven,' an agrarian family drama vaulted into the cosmos, with a heaping portion of 'Cosmos.' The sequence in which Dr. Mann and Cooper wrestle crosscut with Murph and Tom's showdown on the farm is some of Nolan's finest… more",many extraordinary choices small large decisions make unusually almost painfully ambitious movie greater sum tiny particles nolan seems unholy alliance close encounters days heaven agrarian family drama vaulted cosmos heaping portion cosmos sequence dr mann cooper wrestle crosscut murph tom showdown farm nolan finest,486,4
10,10,2021.02.14,"We're just here to be memories for our kids. Still just a miracle of a movie in which Nolan found a way to merge his blockbuster scaled science-fiction imagery with personal ideas about being a father on a dying planet and how his professional/technical passions are directly connected to losing to time with his children, finding a way to package them both as something that contains a bit of The Right Stuff, Solaris, Close Encounters (if we stuck with the… more",memories kids still miracle movie nolan found way merge blockbuster scaled science fiction imagery personal ideas father dying planet professional technical passions directly connected losing time children finding way package both something contains bit right stuff solaris close encounters stuck,464,2
