date,rating,content
2021.10.29,10,"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to get all of this emotion in only one movie. Brilliant."
2019.06.26,10,After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again This without doubt is THE BEST MOVIE EVER MADE
2015.05.31,10,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time. Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ..."
2022.05.08,10,"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's. But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing."
2016.04.13,10,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us. Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans. Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, 'we were never meant to save the world. We were meant to leave it.' For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning. The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie. Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything. I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that."
2015.04.08,10,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. The visual effects were more than just Oscar worthy. They were pioneering. I have never seen anything like it. One thing I would recommend is having a little previous knowledge about space. Not like Einstein stuff though. I would recommend you see this movie as fast as you can if you are a Nolan fan or not. I give this movie a rating of 97 out of 100."
2025.01.02,10,"I think of movies as an art form that evokes emotions in us, homo sapiens. Interstellar is one of those rare pieces of art that stirs the deepest, unexplainable feelings about what it means to be alive-aware of our temporary existence yet capable of imagining beyond time, into the infinite. Its exploration of love, sacrifice, and the unknown feels profoundly human, connecting us to something greater. The visuals are breathtaking, the score is hauntingly beautiful, and the story resonates on an emotional and philosophical level. This movie made me cry, not just for its sadness, but for its sheer, overwhelming beauty."
2021.04.06,0,"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look towards the stars and wonder, because that's what makes us human. Without this stargazing we are merely animals, accepting our fate in the dust..."
2015.04.06,10,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!"
2022.06.25,10,A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.
