rating,date,content
10,2023.07.19,my favourite part is how he doesn't give an absolute shit about his son
10,2018.11.10,tell me you wouldn't cry too if your son grows up to be casey affleck
10,2014.11.10,"Oh. My. God.  I have a headache, but it's the best headache I've ever had."
8,2020.03.21,watched on my 13 inch macbook air just as christopher nolan intended <3
10,2017.02.26,"""It was you. You were my ghost.""HOLY SHIT I AM REALLY NOT OKAY WITH BEING ALIVE RIGHT NOW"
10,2019.01.24,"“because my dad promised me”my relationship with my dad is the most important one in my life, hands down. and this movie always strikes a chord deep inside, so emotionally heavy that i feel it might break, but in a cathartic kind of way. i’m glad i can always rely on it to fall back on when i need to, just like i can rely on him"
8,2020.07.08,When those Zimmer organs kick in *biggest possible chef's kiss*
9,2020.08.28,shout out to the woman sitting next to me who got audibly upset when timothée chalamet grew up to be casey affleck  (she also happened to be my mom)
10,2017.07.13,"as we were leaving the theatre this guy goes ""one hour of a christopher nolan movie is four years of real time"""
10,2017.12.28,i needed a REALLY good cry
10,2017.06.09,i hate to sound like a cheesy old white lady but that shit is breathtaking bro
10,2020.07.09,"“Love isn’t something we invented. It’s observable, powerful. It has to mean something. Maybe it means something we can’t understand yet.”"
10,2017.05.05,JESSICA CHASTAIN SAVED US ALL
10,2022.11.06,is that the dude who fucked a peach in that gay movie?
10,2014.11.04,"I have been staring at this blank canvas for a good half hour now, and I still can't find the words. How the hell do I start a review about a film like this? I walked out of the cinema in a daze, baffled and thrilled and grinning like a damn fool. My car is a two door red Honda Civic and yet I approached a white SUV with my keys out as if it was my ticket home because… more"
9,2020.06.10,fuck you matthew mcconaughey for making me cry
9,2022.10.04,what did time ever do to christopher nolan
10,2022.12.31,"Film bro this. Film bro that. I don't care. Fuck you. This movie is conceptually bold and I love and adore it. It's a level of ambition we rarely see in film and a display of technical execution that never ceases to amaze me, all backed by arguably the greatest film score of all time.  I've been on the Interstellar train since the day I first watched it on the big screen and my entire theater collectively gasped during the… more"
6,2014.11.18,"If you're one of the three people in the universe that hasn't seen this film, there'll be spoilers hereThe Nolan Brothers are poor writers, something they prove once again with a high concept, beautifully shot but shoddily written script that overreaches its grasp at just about every turn. Christopher Nolan is a far better director than he is a writer, he really should direct something once that wasn't written by him or his brother.Interstellar is not a bad… more"
